EvalNumber,Fitness,TimeElapsed,initialGrass,initialBunny,initialFox,bunnyStart,bunnyFood,bunnyCooldown,bunnyFed,bunnyChildren,bunnyLiveLength,foxStart,foxCooldown,foxFed,foxChildren,foxLiveLength,grassFood,grassCooldown,grassChildren,grassLiveLength
240,12,0.1079,37,45,34,25,46,12,34,4,47,26,1,27,4,38,45,12,3,48
241,37,0.1409,49,34,33,12,27,20,38,3,44,19,35,26,3,49,43,3,4,43
242,19,0.0937,44,39,1,24,12,1,47,1,46,21,27,18,4,49,45,12,3,41
243,40,0.334,43,32,7,42,21,11,42,4,45,14,14,25,4,41,21,1,4,43
244,46,0.2657,49,30,11,39,29,18,49,2,45,19,18,12,4,41,30,1,2,27
245,50,0.2749,42,20,4,27,32,8,49,4,49,16,5,14,4,48,35,4,3,41
246,34,0.1348,47,26,6,15,18,4,48,1,49,15,5,9,4,29,43,22,2,49
247,48,0.3466,49,24,9,25,48,4,45,2,37,3,14,19,3,49,39,4,2,49
248,51,0.2171,35,47,6,26,26,8,41,2,46,15,30,46,4,43,48,5,4,44
249,32,0.1897,47,21,2,22,33,2,43,3,36,22,12,11,4,49,47,12,4,47
250,53,0.5845,48,23,5,30,43,3,46,2,49,20,6,3,4,33,30,4,4,35
251,34,0.1189,49,17,12,20,40,12,19,1,47,22,24,14,4,47,25,41,2,43
252,31,0.1253,38,30,14,15,26,30,42,2,48,25,32,2,4,44,29,17,4,48
253,37,0.1308,41,28,19,21,37,9,49,1,41,6,38,22,4,49,44,8,2,48
254,23,0.3941,42,48,5,25,16,11,48,2,49,27,2,7,3,34,31,13,4,49
255,33,0.1226,42,23,1,16,26,23,35,1,48,23,37,17,4,48,38,4,2,32
256,40,0.2313,46,42,17,19,16,6,49,2,42,23,25,21,4,31,36,2,4,43
257,45,0.1601,47,49,3,9,29,30,49,2,35,22,10,28,3,47,10,3,4,49
258,18,0.0872,45,30,7,25,1,16,33,2,31,22,21,16,4,21,41,5,2,43
259,32,0.0936,49,21,6,29,29,4,49,1,48,14,30,25,4,41,18,20,3,49
260,22,0.1482,46,37,28,33,18,9,32,2,37,27,14,19,2,26,43,11,1,39
261,32,0.0938,45,30,5,14,43,26,41,4,41,21,20,19,3,34,43,13,3,49
262,27,0.3412,35,37,7,49,37,5,32,4,49,21,7,7,4,40,21,21,4,37
263,35,0.1092,36,29,1,27,31,16,47,2,49,25,5,15,4,49,23,4,3,49
